site,street,suburb,state,date,arrival,departure,contact,lng,lat,geometry,time
Hume Warehouse,Unit 10/60 Sheppard Street,Hume,ACT,2021-08-11,13:30:00,18:00:00,close,149.167321,-35.389237,POINT (149.167321 -35.389237),4.0
IGA Evatt,Heydon Place,Evatt,ACT,2021-08-11,09:00:00,15:00:00,close,149.073362,-35.208918,POINT (149.073362 -35.208918),6.0
IGA Evatt,Heydon Place,Evatt,ACT,2021-08-11,16:00:00,20:15:00,close,149.073362,-35.208918,POINT (149.073362 -35.208918),4.0
IGA Melba,1/4-6 Melba Circuit,Melba,ACT,2021-08-11,08:50:00,09:15:00,casual,149.0486515,-35.2081529,POINT (149.0486515 -35.2081529),0.0
Intermain,64 Northbourne Avenue,Canberra City,ACT,2021-08-11,12:30:00,14:00:00,close,149.129781,-35.2775068,POINT (149.129781 -35.2775068),1.0
Laverty Pathology Gungahlin,"Gungahlin Square, Unit 131, Hibberson Street",Gungahlin,ACT,2021-08-11,07:45:00,08:30:00,close,149.1371358,-35.1851136,POINT (149.1371358 -35.1851136),0.0
LDK Greenway Views,260 Soward Way,Greenway,ACT,2021-08-11,00:00:00,23:59:00,close,149.0632525,-35.4197317,POINT (149.0632525 -35.4197317),23.0
Lennock Jaguar Land Rover,126 Melrose Drive,Phillip,ACT,2021-08-11,08:30:00,17:30:00,close,149.0891491,-35.356842,POINT (149.0891491 -35.356842),9.0
Lyneham High School,Goodwin Street,Lyneham,ACT,2021-08-11,08:30:00,15:30:00,close,149.130518,-35.2524674,POINT (149.130518 -35.2524674),7.0
North Canberra Business Centre,54 Vicars Street,Mitchell,ACT,2021-08-11,11:10:00,11:30:00,close,149.1443583,-35.210138,POINT (149.1443583 -35.210138),0.0
Ochre Medical Centre Kingston,"Level 1, Unit 6/62 Jardine Street",Kingston,ACT,2021-08-11,16:30:00,16:40:00,monitor,149.1414428,-35.3158701,POINT (149.1414428 -35.3158701),0.0
Pellegrino’s Café,7/49 Wollongong Street,Fyshwick,ACT,2021-08-11,08:30:00,08:35:00,close,149.1794654,-35.3247984,POINT (149.1794654 -35.3247984),0.0
Pellegrino’s Café,7/49 Wollongong Street,Fyshwick,ACT,2021-08-11,12:00:00,13:00:00,close,149.1794654,-35.3247984,POINT (149.1794654 -35.3247984),1.0
Power Kart Raceway,125 Canberra Avenue,Griffith,ACT,2021-08-11,19:15:00,20:30:00,close,149.1498478,-35.3219801,POINT (149.1498478 -35.3219801),1.0
Rebel Sport,"Shop LM2, Keltie Street",Phillip,ACT,2021-08-11,11:15:00,12:15:00,casual,149.0860195,-35.3468472,POINT (149.0860195 -35.3468472),1.0
Sharing Places Building 3 - Pearce Community Centre,Collett Place,Pearce,ACT,2021-08-11,08:45:00,09:30:00,casual,149.083529,-35.362838,POINT (149.083529 -35.362838),0.0
Smile Sensations Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-11,17:50:00,18:50:00,casual,149.0954283,-35.1744206,POINT (149.0954283 -35.1744206),1.0
Southern Cross Basketball Stadium,7 Pitman Street,Greenway,ACT,2021-08-11,18:30:00,22:00:00,casual,149.0634307,-35.4155197,POINT (149.0634307 -35.4155197),3.0
Stockade Training Centre,7 Kembla Street,Fyshwick,ACT,2021-08-11,17:00:00,18:00:00,casual,149.1779729,-35.325788,POINT (149.1779729 -35.325788),1.0
Subway Dickson,Shop 1/71-81 Woolley Street,Dickson,ACT,2021-08-11,19:00:00,19:50:00,close,149.1372542,-35.249573,POINT (149.1372542 -35.249573),0.0
SUPABARN Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-11,13:05:00,13:30:00,casual,149.0960254,-35.1741413,POINT (149.0960254 -35.1741413),0.0
Sushi Island,15/22 Kingsland Parade,Casey,ACT,2021-08-11,13:00:00,13:10:00,casual,149.0956353,-35.1744274,POINT (149.0956353 -35.1744274),0.0
The Bucket Warehouse,Unit 1E/5 Pelle Street,Mitchell,ACT,2021-08-11,17:25:00,19:15:00,close,149.1380832,-35.2103344,POINT (149.1380832 -35.2103344),1.0
The Civic Pub,8 Lonsdale Street,Braddon,ACT,2021-08-11,17:00:00,20:30:00,close,149.1327273,-35.2749938,POINT (149.1327273 -35.2749938),3.0
The Greenshed Mitchell,Flemington Road,Mitchell,ACT,2021-08-11,09:45:00,14:15:00,monitor,149.1475039,-35.2135216,POINT (149.1475039 -35.2135216),4.0
The Rehabilitation Specialists,9/27 Yallourn Street,Fyshwick,ACT,2021-08-11,08:30:00,09:30:00,close,149.1723141,-35.3316397,POINT (149.1723141 -35.3316397),1.0
The Rehabilitation Specialists,9/27 Yallourn Street,Fyshwick,ACT,2021-08-11,14:30:00,17:00:00,close,149.1723141,-35.3316397,POINT (149.1723141 -35.3316397),2.0
TLE Electrical & Data supplies,22-36 Oatley Court,Belconnen,ACT,2021-08-11,07:45:00,08:30:00,casual,149.0576423,-35.241658,POINT (149.0576423 -35.241658),0.0
Turkish Delight,75/71 Giles Street,Kingston,ACT,2021-08-11,18:35:00,18:45:00,close,149.1457753,-35.3129422,POINT (149.1457753 -35.3129422),0.0
UC Library,Building 8 University of Canberra,Bruce,ACT,2021-08-11,20:00:00,21:00:00,monitor,149.0835982,-35.23796919999999,POINT (149.0835982 -35.23796919999999),1.0
Urban Fusion Massage,165/148 Flemington Road,Harrison,ACT,2021-08-11,18:15:00,20:30:00,close,149.1490981,-35.2034272,POINT (149.1490981 -35.2034272),2.0
Westpac Woden,"Woden Centre Plaza, Shops L06-08/3 Bradley Street",Phillip,ACT,2021-08-11,11:00:00,12:00:00,casual,149.0861871,-35.3453939,POINT (149.0861871 -35.3453939),1.0
Woolworths Charnwood,25-30 Charnwood Place,Charnwood,ACT,2021-08-11,18:30:00,19:10:00,casual,149.0328578,-35.2045295,POINT (149.0328578 -35.2045295),0.0
Woolworths Dickson,1 Dickson Place,Dickson,ACT,2021-08-11,15:00:00,15:30:00,casual,149.1386251,-35.249974,POINT (149.1386251 -35.249974),0.0
Woolworths Gungahlin,"Gungahlin Marketplace, 30 and 33 Hibberson Street",Gungahlin,ACT,2021-08-11,08:00:00,08:50:00,casual,149.1339641,-35.1846274,POINT (149.1339641 -35.1846274),0.0
Woolworths Gungahlin,"Gungahlin Marketplace, 30 and 33 Hibberson Street",Gungahlin,ACT,2021-08-11,15:30:00,16:20:00,casual,149.1339641,-35.1846274,POINT (149.1339641 -35.1846274),0.0
